13:20:25:9570,0.8204,1.4073,-0.8577,1.841,2
13:20:25:9600,0.8739,1.5467,-0.783,1.941,2
13:20:25:9620,0.7814,1.6356,-0.7678,1.969,2
13:20:25:9630,0.7178,1.4803,-1.0108,1.931,2
13:20:25:9700,0.4812,1.4962,-0.7461,1.74,2
13:20:25:9870,0.4209,1.8474,-0.2687,1.914,2
13:20:25:9890,0.5776,2.0932,0.5817,2.248,2
13:20:25:9980,1.0282,1.9267,1.1496,2.468,2
13:20:26:0100,1.3535,1.6204,1.6002,2.649,2
13:20:26:0170,1.2664,1.5454,1.6466,2.589,2
13:20:26:0280,1.1003,1.4525,1.7613,2.534,2
13:20:26:0380,1.2095,1.149,1.7229,2.398,2
13:20:26:0470,1.0902,1.2436,1.0043,1.935,2
13:20:26:0570,1.3353,1.2912,0.1566,1.864,2
13:20:26:0670,1.9552,1.0536,-0.4681,2.27,2
13:20:26:0770,2.3469,0.7866,-0.7274,2.58,2
13:20:26:0880,2.461,0.4828,-0.9076,2.667,2
13:20:26:0980,1.9767,0.4629,-1.4216,2.478,2
13:20:26:1070,1.5207,0.6755,-2.3725,2.898,2
13:20:26:1170,1.143,0.7154,-3.6357,3.878,2
13:20:26:1270,0.4872,0.3717,-4.9543,4.992,2
13:20:26:1380,0.0589,-0.5812,-5.5134,5.544,2
13:20:26:1490,0.5206,-2.4443,-4.8667,5.471,2
13:20:26:1620,4.0155,-11.4233,8.5402,14.817,2
13:20:26:1670,-0.2647,-3.7147,-2.3626,4.41,2
13:20:26:1780,-1.8312,0.6151,0.8335,2.104,2
13:20:26:1870,-1.3896,2.5738,4.7221,5.555,2
13:20:26:1970,-2.4618,3.2596,4.706,6.231,2
13:20:26:2090,-3.7215,1.1998,3.2906,5.11,2
13:20:26:2170,-3.7183,0.8595,3.7125,5.324,2
13:20:26:2270,-2.6941,1.3829,1.6256,3.437,2
13:20:26:2390,-0.8586,0.9665,1.3772,1.889,2
13:20:26:2470,0.2962,0.8071,0.9666,1.294,2
13:20:26:2580,0.2094,1.3987,0.3656,1.461,2
13:20:26:2700,0.7504,1.3455,-3.9238,4.215,2
13:20:26:2780,1.0141,1.8323,-2.8821,3.563,2
13:20:26:2870,0.8987,2.0248,-2.9594,3.697,2
13:20:26:2970,-0.0219,2.6378,-2.1108,3.378,2
13:20:26:3070,-1.8218,3.9776,-1.2966,4.563,2
13:20:26:3180,-2.9081,4.0607,-2.3327,5.513,2
13:20:26:3290,-2.4221,2.5553,-3.5281,4.984,2
13:20:26:3380,-2.1017,2.5501,-3.5362,4.84,2
13:20:26:3469,-1.0996,2.0599,1.9617,3.05,2
13:20:26:3570,-0.601,0.917,3.1885,3.372,2
13:20:26:3670,-0.3477,-0.3143,2.6062,2.648,2
13:20:26:3770,1.759,-0.0337,3.6652,4.066,2
13:20:26:3880,3.2622,1.0848,5.2944,6.313,2
13:20:26:3970,1.8894,1.0364,3.2021,3.86,2
13:20:26:4089,0.0025,0.6751,0.9274,1.147,2
13:20:26:4180,-0.1725,0.6046,1.2956,1.44,2
13:20:26:4280,0.209,0.2616,3.091,3.109,2
13:20:26:4410,1.0704,-0.0879,4.3538,4.484,2
13:20:26:4490,1.8321,0.026,3.7415,4.166,2
13:20:26:4580,2.0405,0.2236,2.6415,3.345,2
13:20:26:4670,1.8074,0.6377,1.6933,2.558,2
13:20:26:4830,0.8654,1.0971,1.6973,2.199,2
13:20:26:4890,-0.3971,1.2239,2.0579,2.427,2
13:20:26:4980,-1.4523,1.2455,3.1324,3.67,2
13:20:26:5130,-2.5657,1.2403,3.4681,4.489,2
13:20:26:5200,-2.1951,0.6887,3.4474,4.145,2
13:20:26:5280,-0.9749,-0.1245,2.3615,2.558,2
13:20:26:5390,0.2804,-1.069,0.2282,1.129,2
13:20:26:5480,0.2293,-1.0441,-0.4867,1.175,2
13:20:26:5580,-0.6268,-0.8437,-0.6664,1.245,2
13:20:26:5840,-1.3139,-0.7985,-1.2831,2.003,2
13:20:26:5880,-1.2157,-1.3041,-1.8578,2.575,2
13:20:26:5910,-0.863,-1.0268,-2.0632,2.461,2
13:20:26:5980,0.1661,-0.7097,-2.9827,3.07,2
13:20:26:6080,0.4368,-1.0811,-3.8905,4.061,2
13:20:26:6180,-0.0505,-1.8894,-4.3337,4.728,2
13:20:26:6300,-0.1631,-1.8878,-4.3336,4.73,2
13:20:26:6390,-0.7415,-3.3573,-5.3628,6.37,2
13:20:26:6470,-1.1459,-4.2877,-4.2481,6.144,2
13:20:26:6660,-1.1498,-4.2603,-4.2576,6.132,2
13:20:26:6710,-0.6098,-3.8468,-2.8575,4.831,2
13:20:26:6780,0.8309,-4.2576,-3.8264,5.784,2
13:20:26:6899,1.3781,-3.4069,-4.5951,5.884,2
13:20:26:6990,1.2569,-3.4133,-4.5877,5.855,2
13:20:26:7090,1.1716,-2.8401,-4.8408,5.733,2
13:20:26:7190,0.4595,-2.1921,-4.1407,4.708,2
13:20:26:7280,1.2884,-3.5118,-2.9475,4.762,2
13:20:26:7390,1.8732,-3.8424,-2.4736,4.939,2
13:20:26:7490,2.1471,-4.1584,-1.6838,4.974,2
13:20:26:7590,2.4299,-4.5697,-1.2193,5.317,2
13:20:26:7680,1.8171,-4.1349,-0.5199,4.546,2
13:20:26:7830,0.8636,-3.4246,-0.0903,3.533,2
13:20:26:7930,0.4909,-3.2782,-0.0363,3.315,2
13:20:26:8090,0.5211,-3.0278,0.1088,3.074,2
13:20:26:8120,0.6454,-1.9771,0.062,2.081,2
13:20:26:8310,0.8402,-0.7781,0.0932,1.149,2
13:20:26:8330,1.2414,0.1077,0.3564,1.296,2
13:20:26:8420,1.9927,0.0296,1.5443,2.521,2
13:20:26:8480,2.4196,-0.1585,3.2096,4.023,2
13:20:26:8580,2.0783,0.1905,4.6512,5.098,2
13:20:26:8730,0.8433,0.8423,6.0738,6.19,2
13:20:26:8780,0.4281,0.9725,6.3077,6.397,2
13:20:26:8890,0.6602,0.9365,6.1763,6.282,2
13:20:26:8980,0.8946,1.2243,6.0047,6.193,2
13:20:26:9080,1.0349,1.8914,5.5523,5.956,2
13:20:26:9180,0.971,1.976,5.5569,5.977,2
13:20:26:9300,1.2681,3.4425,3.9348,5.38,2
13:20:26:9390,1.252,3.7344,3.2347,5.097,2
13:20:26:9480,1.1507,4.0372,2.1438,4.714,2
13:20:26:9590,0.4834,4.2461,1.2669,4.457,2
13:20:26:9680,-0.4532,4.1853,0.3932,4.228,2
13:20:26:9810,-0.6499,3.5296,-0.229,3.596,2
13:20:26:9930,-1.0721,3.1924,-0.3408,3.385,2
13:20:26:9990,-1.8044,3.0095,-0.3692,3.528,2
13:20:27:0090,-2.9373,2.7214,-0.6967,4.064,2
13:20:27:0180,-4.4889,2.5781,-1.1611,5.305,2
13:20:27:0280,-6.2625,2.524,-1.5204,6.921,2
13:20:27:0380,-7.8922,2.7159,-1.8933,8.558,2
13:20:27:0490,-7.8366,2.6588,-1.9066,8.492,2
13:20:27:0600,-8.8285,2.6639,-1.8441,9.404,2
13:20:27:0680,-8.7754,2.3125,-1.5145,9.201,2
13:20:27:0780,-7.8002,1.8617,-0.7342,8.053,2
13:20:27:1000,-7.293,1.6173,-0.5647,7.491,2
13:20:27:1040,-6.7987,1.481,-0.8303,7.007,2
13:20:27:1100,-6.367,1.3494,-1.0224,6.588,2
13:20:27:1250,-6.1572,1.3184,-0.8926,6.36,2
13:20:27:1300,-6.0597,1.2736,-0.4998,6.212,2
13:20:27:1390,-5.7384,0.983,-0.3248,5.831,2
13:20:27:1490,-5.3072,0.6802,0.043,5.351,2
13:20:27:1590,-5.3127,0.5878,0.0657,5.346,2
13:20:27:1750,-4.653,0.0568,3.2122,5.654,2
13:20:27:1830,-4.2769,0.0018,4.516,6.22,2
13:20:27:1980,-3.561,0.0028,5.6596,6.687,2
13:20:27:2010,-3.6116,-0.067,5.6947,6.744,2
13:20:27:2100,-2.8321,-0.0469,6.1383,6.76,2
13:20:27:2220,-2.1269,0.4362,6.4337,6.79,2
13:20:27:2310,-2.7418,-0.3531,7.1278,7.645,2
13:20:27:2400,-3.1762,-1.0195,7.9621,8.633,2
13:20:27:2500,-3.1618,-1.081,7.9758,8.648,2
13:20:27:2600,-2.7662,-1.757,9.2841,9.845,2
13:20:27:2720,-0.1901,-3.3703,11.3952,11.885,2
13:20:27:2800,1.0637,-4.1006,11.5136,12.268,2
13:20:27:2910,2.7973,-4.9058,10.5805,11.993,2
13:20:27:2990,2.752,-5.024,10.6387,12.083,2
13:20:27:3110,3.6645,-5.6381,9.8744,11.947,2
13:20:27:3250,4.8137,-5.7728,5.9698,9.599,2
13:20:27:3290,5.5902,-6.3176,3.4294,9.106,2
13:20:27:3400,5.0263,-5.3871,1.3541,7.491,2
13:20:27:3510,4.9754,-5.6023,1.4818,7.638,2
13:20:27:3600,3.0209,-5.0248,-2.167,6.251,2
13:20:27:3720,1.8108,-5.4364,-2.7851,6.371,2
13:20:27:3800,0.7874,-5.8308,-3.1845,6.69,2
13:20:27:3900,0.3866,-6.2102,-3.2033,6.998,2
13:20:27:4000,0.0616,-6.372,-3.2539,7.155,2
13:20:27:4110,-0.1635,-6.4925,-3.2853,7.278,2
13:20:27:4210,-0.2536,-6.7592,-3.5477,7.638,2
13:20:27:4300,-0.1838,-6.7145,-3.6,7.621,2
13:20:27:4400,-0.1078,-7.0965,-4.2448,8.27,2
13:20:27:4490,-0.0374,-7.151,-4.6464,8.528,2
13:20:27:4600,-0.0026,-7.1422,-4.9155,8.67,2
13:20:27:4710,0.3008,-6.9185,-4.7954,8.423,2
13:20:27:4800,0.3586,-6.934,-4.8052,8.444,2
13:20:27:4890,0.5646,-6.6014,-4.6626,8.102,2
13:20:27:5000,0.6576,-6.2774,-4.4914,7.747,2
13:20:27:5100,1.0439,-6.069,-4.0724,7.383,2
13:20:27:5220,1.4025,-5.8394,-3.5868,6.995,2
13:20:27:5310,1.714,-5.6497,-3.3478,6.787,2
13:20:27:5410,2.3709,-5.6933,-3.2485,6.97,2
13:20:27:5500,3.2228,-5.9538,-3.2375,7.504,2
13:20:27:5629,3.7335,-5.8527,-3.2805,7.678,2
13:20:27:5820,3.6286,-5.4177,-3.6619,7.479,2
13:20:27:5860,3.3766,-4.9508,-4.1753,7.304,2
13:20:27:5950,3.1164,-4.5578,-4.7564,7.288,2
13:20:27:6000,2.9352,-4.182,-4.8073,7.015,2
13:20:27:6100,2.972,-4.0668,-4.3322,6.644,2
13:20:27:6220,2.7866,-3.9251,-2.8265,5.582,2
13:20:27:6290,2.4501,-3.5357,-0.5382,4.335,2
13:20:27:6400,2.3875,-3.4807,1.7252,4.56,2
13:20:27:6510,2.3717,-3.341,1.6638,4.422,2
13:20:27:6600,2.1726,-2.9814,5.2888,6.448,2
13:20:27:6770,2.3189,-1.9851,6.0155,6.746,2
13:20:27:6810,2.6254,-1.0982,6.5473,7.139,2
13:20:27:7050,2.9552,-0.7061,6.5591,7.229,2
13:20:27:7110,2.7109,-0.5441,6.5887,7.145,2
13:20:27:7140,3.38,-0.1907,7.1963,7.953,2
13:20:27:7230,3.229,-0.4603,7.5041,8.182,2
13:20:27:7300,2.8514,-0.2162,8.2638,8.745,2
13:20:27:7420,2.3843,0.5932,9.0745,9.401,2
13:20:27:7500,1.9107,1.4899,9.0182,9.338,2
13:20:27:7600,1.4236,2.2409,7.9552,8.387,2
13:20:27:7760,0.8934,2.9602,6.1505,6.884,2
13:20:27:7810,0.5329,3.3966,4.753,5.866,2
13:20:27:8070,0.4553,3.4199,4.7861,5.9,2
13:20:27:8100,0.0804,3.6577,3.4882,5.055,2
13:20:27:8120,-1.2683,3.6477,2.257,4.473,2
13:20:27:8360,-2.1865,3.5631,1.064,4.314,2
13:20:27:8390,-3.4176,3.331,-0.3977,4.789,2
13:20:27:8440,-4.3628,3.2827,-1.0662,5.563,2
13:20:27:8500,-5.3425,3.4475,-1.5571,6.546,2
13:20:27:8630,-6.1167,3.4133,-1.8977,7.257,2
13:20:27:8890,-6.6249,3.1335,-1.9871,7.593,2
13:20:27:8930,-7.0338,2.8984,-1.8923,7.839,2
13:20:27:8950,-7.3206,2.8676,-1.9903,8.11,2
13:20:27:9010,-7.1881,2.7688,-2.0305,7.966,2
13:20:27:9120,-7.3028,2.6779,-2.3627,8.129,2
13:20:27:9200,-7.1364,2.5203,-2.8732,8.095,2
13:20:27:9310,-6.7804,2.2936,-2.7119,7.654,2
13:20:27:9470,-6.3509,2.0391,-2.074,6.985,2
13:20:27:9510,-5.9562,1.5859,-1.0188,6.247,2
13:20:27:9660,-5.5892,1.0569,-0.3007,5.696,2
13:20:27:9740,-5.0758,0.6547,0.4957,5.142,2
13:20:27:9840,-4.8628,0.4734,1.5159,5.116,2
13:20:28:0100,-4.5734,0.1185,2.3697,5.152,2
13:20:28:0120,-4.191,-0.4202,3.006,5.175,2
13:20:28:0150,-4.0251,-0.8505,4.2214,5.895,2
13:20:28:0290,-4.0689,-1.0175,5.2187,6.695,2
13:20:28:0320,-4.1642,-0.8844,6.2355,7.55,2
13:20:28:0450,-4.1436,-0.7825,7.2748,8.409,2
13:20:28:0490,-3.8228,-0.9831,7.9344,8.862,2
13:20:28:0600,-3.6129,-1.3588,8.1086,8.981,2
13:20:28:0750,-3.6515,-1.8399,7.9121,8.906,2
13:20:28:0850,-3.6523,-1.9345,7.9561,8.966,2
13:20:28:0920,-2.301,-3.1185,7.7543,8.669,2
13:20:28:1000,-2.3089,-3.2089,7.8017,8.746,2
13:20:28:1090,-0.2702,-4.0108,9.0837,9.933,2
13:20:28:1210,0.6803,-4.6286,9.5134,10.601,2
13:20:28:1310,1.3039,-4.9244,9.9092,11.142,2
13:20:28:1409,2.4689,-5.8971,9.3442,11.322,2
13:20:28:1510,4.091,-6.8954,9.0903,12.121,2
13:20:28:1600,4.8474,-7.2332,8.7591,12.351,2
13:20:28:1750,4.6698,-6.7012,8.1697,11.552,2
13:20:28:1800,4.0292,-6.5973,6.3335,9.994,2
13:20:28:1920,2.7718,-6.5196,4.1546,8.213,2
13:20:28:2000,1.8335,-6.6969,2.5143,7.385,2
13:20:28:2090,0.8161,-6.7489,0.675,6.832,2
13:20:28:2220,-0.1777,-6.7975,-0.7127,6.837,2
13:20:28:2290,-1.0549,-6.7727,-1.3564,6.987,2
13:20:28:2400,-1.2583,-6.8843,-1.4658,7.15,2
13:20:28:2510,-1.0232,-7.1439,-1.3868,7.349,2
13:20:28:2600,-0.6556,-7.2137,-1.4484,7.387,2
13:20:28:2700,-0.2526,-7.1904,-1.8515,7.429,2
13:20:28:2800,0.0619,-6.9784,-2.3926,7.377,2
13:20:28:2980,0.1096,-6.7862,-2.897,7.379,2
13:20:28:3020,-0.0512,-7.0086,-2.934,7.598,2
13:20:28:3120,-0.2741,-7.1852,-2.7288,7.691,2
13:20:28:3220,-0.3529,-7.302,-2.3263,7.672,2
13:20:28:3300,-0.2972,-7.4457,-1.8494,7.678,2
13:20:28:3400,0.0036,-7.6093,-1.8251,7.825,2
13:20:28:3489,0.2069,-7.4627,-2.1541,7.77,2
13:20:28:3600,0.2312,-7.3153,-2.5205,7.741,2
13:20:28:3740,0.1848,-7.1324,-3.0237,7.749,2
13:20:28:3820,0.443,-6.9293,-3.0928,7.601,2
13:20:28:3890,1.1644,-6.8341,-3.1293,7.606,2
13:20:28:4040,1.9417,-6.6735,-3.3,7.694,2
13:20:28:4089,2.4418,-6.4002,-3.7694,7.819,2
13:20:28:4220,2.4366,-6.387,-3.7782,7.811,2
13:20:28:4310,2.8239,-6.1888,-5.2374,8.585,2
13:20:28:4410,2.6575,-6.0666,-5.2296,8.439,2
13:20:28:4490,2.2465,-5.6087,-4.9407,7.805,2
13:20:28:4600,1.9592,-5.0322,-4.4845,7.019,2
13:20:28:4770,1.9786,-4.9637,-4.5423,7.013,2
13:20:28:4810,2.0421,-4.6163,-4.2378,6.591,2
13:20:28:5010,2.4913,-3.2838,-2.0194,4.59,2
13:20:28:5060,3.1653,-3.3591,-0.3179,4.626,2
13:20:28:5090,3.0862,-3.2181,-0.3882,4.476,2
13:20:28:5210,3.6483,-3.3141,1.8229,5.255,2
13:20:28:5290,3.6016,-2.9343,3.9368,6.089,2
13:20:28:5410,2.9071,-2.382,6.0297,7.105,2
13:20:28:5500,2.7302,-2.7536,10.9941,11.658,2
13:20:28:5600,2.8354,-2.7061,13.0641,13.639,2
13:20:28:5750,2.3527,-1.8844,14.3858,14.698,2
13:20:28:5790,1.4778,-0.7252,14.3328,14.427,2
13:20:28:5990,0.761,0.3774,12.3442,12.373,2
13:20:28:6050,0.4266,1.3653,9.6934,9.798,2
13:20:28:6110,0.4375,2.4022,6.7024,7.133,2
13:20:28:6240,1.341,2.6049,4.6731,5.516,2
13:20:28:6290,2.0923,2.6476,2.8622,4.425,2
13:20:28:6440,2.5778,2.9412,1.4246,4.162,2
13:20:28:6490,2.1179,2.6827,0.8431,3.52,2
13:20:28:6590,1.0334,2.4055,0.4975,2.665,2
13:20:28:6750,0.9733,2.4395,0.5177,2.677,2
13:20:28:6820,-0.8453,2.1284,0.4645,2.337,2
13:20:28:7000,-2.3101,2.0233,0.305,3.086,2
13:20:28:7060,-4.8358,1.9345,-0.4963,5.232,2
13:20:28:7080,-5.3595,1.9272,-1.1212,5.805,2
13:20:28:7190,-5.7862,1.9465,-1.6806,6.332,2
13:20:28:7310,-6.2697,1.9859,-2.1821,6.929,2
13:20:28:7390,-6.5821,1.8602,-2.3725,7.24,2
13:20:28:7480,-6.906,1.65,-2.5261,7.536,2
13:20:28:7610,-7.1317,1.5499,-2.6811,7.775,2
13:20:28:7690,-6.9186,1.3762,-2.7694,7.578,2
13:20:28:7790,-6.527,1.069,-2.9054,7.224,2
13:20:28:7930,-6.6827,0.7342,-2.3952,7.137,2
13:20:28:8000,-6.6874,0.5407,-1.6493,6.909,2
13:20:28:8090,-7.0929,0.2882,-1.2021,7.2,2
13:20:28:8189,-7.0859,0.2723,-1.1991,7.192,2
13:20:28:8300,-7.1355,0.2059,-0.0869,7.139,2
13:20:28:8430,-6.9366,0.1078,0.359,6.947,2
13:20:28:8500,-6.9209,-0.0628,1.3775,7.057,2
13:20:28:8590,-7.0232,-0.4389,2.6704,7.527,2
13:20:28:8690,-6.9504,-0.4732,2.6521,7.454,2
13:20:28:8800,-6.6941,-1.0112,3.7773,7.753,2
13:20:28:8950,-6.0721,-1.03,5.3696,8.171,2
13:20:28:8990,-5.6707,-0.733,6.6935,8.803,2
13:20:28:9100,-4.7957,-0.4066,8.9534,10.165,2
13:20:28:9240,-3.7521,-0.8318,10.4371,11.122,2
13:20:28:9290,-3.8168,-0.8662,10.4829,11.19,2
13:20:28:9390,-2.019,-2.501,13.9543,14.32,2
13:20:28:9480,-2.2117,-3.2458,15.2589,15.756,2
13:20:28:9590,-1.7187,-3.9673,15.7966,16.378,2
13:20:28:9790,-0.6078,-4.5419,15.4522,16.117,2
13:20:28:9820,-0.0291,-4.6841,14.4156,15.158,2
13:20:28:9900,0.9797,-4.5809,12.845,13.673,2
13:20:29:0030,2.0287,-5.2042,11.6967,12.962,2
13:20:29:0080,3.2865,-5.9889,10.7339,12.723,2
13:20:29:0190,4.1063,-6.6668,9.4956,12.307,2
13:20:29:0310,4.4045,-7.3386,7.9878,11.707,2
13:20:29:0400,4.3562,-7.5189,8.1397,11.907,2
13:20:29:0490,3.48,-7.7072,4.6504,9.651,2
13:20:29:0590,2.4051,-7.56,2.3367,8.27,2
13:20:29:0700,1.1958,-7.247,0.4075,7.356,2
13:20:29:0800,0.0401,-7.0598,-1.0193,7.133,2
13:20:29:1010,-1.0152,-6.9207,-1.9099,7.251,2
13:20:29:1030,-0.8833,-7.1008,-1.8179,7.383,2
13:20:29:1090,-1.1092,-7.4072,-2.7856,7.991,2
13:20:29:1220,-1.0412,-7.4235,-2.8084,8.005,2
13:20:29:1290,-0.6043,-7.9797,-3.46,8.719,2
13:20:29:1409,-0.6005,-7.8787,-3.6612,8.709,2
13:20:29:1500,-0.4879,-8.0901,-3.4632,8.814,2
13:20:29:1590,-0.3805,-8.3851,-3.1665,8.971,2
13:20:29:1690,-0.3443,-8.6179,-2.8869,9.095,2
13:20:29:1800,-0.4989,-9.0374,-2.3912,9.362,2
13:20:29:1930,-0.8679,-9.2875,-1.9127,9.522,2
13:20:29:1990,-1.1664,-9.1172,-1.7171,9.35,2
13:20:29:2100,-1.0651,-8.9434,-1.6684,9.16,2
13:20:29:2220,-0.7922,-8.6627,-1.6714,8.858,2
13:20:29:2290,-0.2923,-8.33,-1.9278,8.555,2
13:20:29:2380,0.162,-7.9393,-2.2034,8.241,2
13:20:29:2480,0.5437,-7.5268,-2.5645,7.97,2
13:20:29:2590,0.941,-7.4367,-2.9467,8.054,2
13:20:29:2770,1.6121,-7.5756,-3.4336,8.472,2
13:20:29:2800,1.5421,-7.5587,-3.417,8.437,2
13:20:29:2960,1.9146,-7.6832,-4.1425,8.936,2
13:20:29:2990,2.1058,-7.5109,-4.3944,8.953,2
13:20:29:3080,2.4394,-7.037,-4.6821,8.797,2
13:20:29:3190,2.8542,-6.2577,-5.0914,8.557,2
13:20:29:3290,3.4083,-5.6855,-5.0633,8.341,2
13:20:29:3400,3.3952,-5.6146,-5.124,8.325,2
13:20:29:3489,4.122,-4.911,-4.3722,7.761,2
13:20:29:3620,3.783,-4.1914,-3.1438,6.462,2
13:20:29:3680,3.4251,-3.6988,-2.5069,5.63,2
