01:41:01:5780,-0.0001,-0.0068,-0.2297,0.23,4
01:41:01:5790,-0.0145,-0.0265,-0.0835,0.089,4
01:41:01:5980,-0.0523,-0.0118,0.0278,0.06,4
01:41:01:5990,-0.0958,-0.023,0.0503,0.111,4
01:41:01:6100,-0.1461,-0.0368,0.0208,0.152,4
01:41:01:6190,-0.1753,-0.032,-0.0335,0.181,4
01:41:01:6320,-0.1786,-0.0421,-0.0861,0.203,4
01:41:01:6400,-0.0163,-0.1575,-0.0857,0.18,4
01:41:01:6510,0.061,-0.1167,-0.0116,0.132,4
01:41:01:6590,0.7349,-0.2692,0.1262,0.793,4
01:41:01:6700,0.3561,0.1101,0.0838,0.382,4
01:41:01:6790,0.1089,0.2294,0.0542,0.26,4
01:41:01:6899,0.004,0.1932,0.0197,0.194,4
01:41:01:6990,0.0256,0.1489,0.0243,0.153,4
01:41:01:7110,0.083,0.1213,-0.0332,0.151,4
01:41:01:7200,0.1242,0.0563,-0.0844,0.16,4
01:41:01:7290,0.1675,0.0157,-0.0786,0.186,4
01:41:01:7400,0.1469,-0.0153,-0.042,0.154,4
01:41:01:7500,0.1107,-0.0293,-0.0802,0.14,4
01:41:01:7590,0.037,-0.0096,-0.1164,0.123,4
01:41:01:7720,0.0193,-0.0304,-0.1149,0.12,4
01:41:01:7790,-0.0069,-0.0436,-0.1166,0.125,4
01:41:01:7900,-0.0226,-0.0685,-0.0854,0.112,4
01:41:01:8000,-0.0668,-0.064,-0.0623,0.112,4
01:41:01:8110,-0.111,-0.04,0.0201,0.12,4
01:41:01:8200,-0.0987,-0.0183,0.0548,0.114,4
01:41:01:8310,-0.0614,-0.0444,0.0491,0.09,4
01:41:01:8400,-0.0421,-0.0587,-0.0352,0.08,4
01:41:01:8500,-0.0635,-0.0684,-0.0521,0.107,4
01:41:01:8600,-0.0836,-0.0303,-0.0117,0.09,4
01:41:01:8700,-0.1291,-0.011,-0.0032,0.13,4
01:41:01:8800,-0.1047,-0.0127,0.0237,0.108,4
01:41:01:9010,-0.1071,-0.045,0.0476,0.126,4
01:41:01:9020,-0.0717,-0.0696,0.0516,0.112,4
01:41:01:9090,-0.0439,-0.0701,0.0868,0.12,4
01:41:01:9190,-0.0381,-0.1042,0.0768,0.135,4
01:41:01:9300,-0.0493,-0.0813,0.0027,0.095,4
01:41:01:9390,-0.0917,-0.0732,-0.0085,0.118,4
01:41:01:9510,-0.1289,-0.0413,0.0308,0.139,4
01:41:01:9590,-0.1201,-0.0214,0.0366,0.127,4
01:41:01:9700,-0.1497,-0.04,0.0594,0.166,4
01:41:01:9790,-0.1181,-0.0323,0.0345,0.127,4
01:41:01:9900,-0.0924,-0.0272,0.0677,0.118,4
01:41:02:0000,-0.0629,-0.0341,0.0341,0.079,4
01:41:02:0120,-0.0369,-0.0293,0.0131,0.049,4
01:41:02:0210,-0.0251,-0.0391,-0.0268,0.054,4
01:41:02:0360,-0.0509,-0.0131,-0.0355,0.063,4
01:41:02:0410,-0.0617,0.001,-0.0277,0.068,4
01:41:02:0520,-0.0699,-0.004,-0.0056,0.07,4
01:41:02:0610,-0.0571,-0.016,-0.0244,0.064,4
01:41:02:0730,-0.0615,-0.0181,-0.0554,0.085,4
01:41:02:0810,-0.0498,-0.013,-0.0313,0.06,4
01:41:02:0920,-0.0287,-0.0315,-0.0172,0.046,4
01:41:02:1010,-0.0224,-0.0425,0.0277,0.055,4
01:41:02:1180,0.0077,-0.0439,0.044,0.063,4
01:41:02:1250,0.0206,-0.0453,0.0315,0.059,4
01:41:02:1340,-0.0098,-0.0347,0.0359,0.051,4
01:41:02:1419,-0.0134,-0.0147,0.0259,0.033,4
01:41:02:1530,-0.009,-0.0114,0.0206,0.025,4
01:41:02:1670,0.0011,-0.0151,-0.0091,0.018,4
01:41:02:1920,-0.043,-0.0138,0.0182,0.049,4
01:41:02:1950,-0.0718,0.0022,0.069,0.1,4
01:41:02:1960,-0.0786,-0.0154,0.0957,0.125,4
01:41:02:2100,-0.0644,-0.0256,0.1366,0.153,4
01:41:02:2130,-0.0369,-0.0599,0.135,0.152,4
01:41:02:2290,-0.03,-0.042,0.1269,0.137,4
01:41:02:2370,-0.0265,-0.0391,0.1224,0.131,4
01:41:02:2600,-0.002,-0.056,0.0662,0.087,4
01:41:02:2630,-0.0343,-0.0468,0.0318,0.066,4
01:41:02:2770,-0.0445,-0.0017,0.0164,0.047,4
01:41:02:2790,-0.0518,0.0005,0.0412,0.066,4
01:41:02:2829,-0.042,-0.0233,0.0513,0.07,4
01:41:02:2960,-0.042,-0.0448,0.1454,0.158,4
01:41:02:3020,-0.0165,-0.0475,0.1323,0.142,4
01:41:02:3140,-0.0208,-0.0555,0.0866,0.105,4
01:41:02:3220,-0.0186,-0.0401,0.0393,0.059,4
01:41:02:3320,-0.0117,-0.0202,0.0212,0.031,4
01:41:02:3420,-0.0094,-0.0195,0.0199,0.029,4
01:41:02:3530,0.0265,0.0194,0.057,0.066,4
01:41:02:3670,0.0309,-0.0278,0.0485,0.064,4
01:41:02:3740,0.0326,-0.0271,0.0473,0.064,4
01:41:02:3850,0.0441,-0.0146,0.0056,0.047,4
01:41:02:4340,-0.0059,0.0071,0.0001,0.009,4
01:41:02:4370,-0.0267,0.012,-0.0078,0.03,4
01:41:02:4380,-0.0234,0.024,-0.0156,0.037,4
01:41:02:4390,-0.0038,0.0263,0.0032,0.027,4
01:41:02:4400,0.0342,-0.012,-0.0332,0.049,4
01:41:02:4470,0.06,-0.0045,-0.0698,0.092,4
01:41:02:4530,0.0478,-0.0352,-0.0539,0.08,4
01:41:02:4660,0.0653,-0.0015,-0.0188,0.068,4
01:41:02:4740,0.062,0.0033,-0.0076,0.063,4
01:41:02:4970,0.0469,-0.011,-0.0346,0.059,4
01:41:02:4990,0.0202,0.0392,-0.0329,0.055,4
01:41:02:5030,0.0396,0.0389,0.0002,0.056,4
01:41:02:5290,-0.0125,0.0292,0.0065,0.032,4
01:41:02:5320,-0.0023,0.0413,0.0127,0.043,4
01:41:02:5340,0.0151,0.0486,0.002,0.051,4
01:41:02:5510,0.0277,0.0224,-0.0231,0.042,4
01:41:02:5610,0.0239,-0.0012,-0.0532,0.058,4
01:41:02:5629,0.0208,0.0113,-0.0502,0.055,4
01:41:02:5729,-0.0003,-0.012,-0.0164,0.02,4
01:41:02:5840,0.0084,-0.0303,-0.0166,0.036,4
01:41:02:5960,-0.0327,-0.0365,-0.0242,0.055,4
01:41:02:6020,-0.0421,-0.0234,0.0016,0.048,4
01:41:02:6170,-0.0633,-0.0198,-0.0135,0.068,4
01:41:02:6230,-0.0629,-0.0354,-0.0382,0.082,4
01:41:02:6340,-0.0816,-0.0292,-0.068,0.11,4
01:41:02:6470,-0.0933,-0.0468,-0.0666,0.124,4
01:41:02:6580,-0.1122,-0.0473,-0.0898,0.151,4
01:41:02:6620,-0.0982,-0.0834,-0.063,0.143,4
01:41:02:6740,-0.1034,-0.0878,0.011,0.136,4
01:41:02:6820,-0.1138,-0.0846,0.0343,0.146,4
01:41:02:6939,-0.0935,-0.0717,0.0647,0.134,4
01:41:02:7030,-0.0856,-0.0687,0.0596,0.125,4
01:41:02:7140,-0.0428,-0.0777,0.0812,0.12,4
01:41:02:7240,-0.049,-0.0704,0.0052,0.086,4
01:41:02:7410,-0.1054,-0.0367,-0.0228,0.114,4
01:41:02:7420,-0.1418,-0.0129,0.0283,0.145,4
01:41:02:7530,-0.182,-0.0199,0.0718,0.197,4
01:41:02:7690,-0.1697,-0.0505,0.0527,0.185,4
01:41:02:7740,-0.1634,-0.0471,0.0474,0.177,4
01:41:02:7840,-0.1351,-0.0792,0.0779,0.175,4
01:41:02:8340,-0.1078,-0.1474,0.0417,0.187,4
01:41:02:8450,-0.1191,-0.1296,0.0081,0.176,4
01:41:02:8470,-0.1159,-0.0975,-0.0709,0.167,4
01:41:02:8480,-0.1339,-0.0509,-0.0999,0.175,4
01:41:02:8500,-0.1441,-0.0299,-0.0651,0.161,4
01:41:02:8520,-0.1397,-0.0248,-0.0722,0.159,4
01:41:02:8540,-0.1502,-0.0211,-0.0015,0.152,4
01:41:02:8700,-0.1497,-0.0407,0.0996,0.184,4
01:41:02:8730,-0.1265,-0.0291,0.1651,0.21,4
01:41:02:8860,-0.0759,-0.0586,0.2359,0.255,4
01:41:02:9040,-0.0145,-0.0531,0.2147,0.222,4
01:41:02:9070,0.0323,-0.0487,0.1661,0.176,4
01:41:02:9140,0.0637,-0.0479,0.1166,0.141,4
01:41:02:9230,-0.0257,-0.0048,0.0799,0.084,4
01:41:02:9330,-0.0645,0.0046,0.0576,0.087,4
